Arquivo|indicacao|indication|ATC_1|ATC_2|ATC_3|ATC_4
bula292|Cloridrato de ranitidina é indicado no tratamento de úlcera duodenal e úlcera gástrica benigna, incluindo aquelas associadas a agentes anti-inflamatórios não esteroidais. Também é usado na prevenção de úlceras duodenais associadas a agentes anti-inflamatórios não esteroidais, incluindo ácido acetilsalicílico, especialmente em pacientes com história de doença ulcerosa péptica, úlcera duodenal relacionada à infecção por H. pylori, úlcera pós-operatória, esofagite de refluxo, alívio dos sintomas de refluxo gastroesofágico, síndrome de Zollinger-Ellison e dispepsia episódica crônica, caracterizada por dor epigástrica ou retroesternal que está associada às refeições ou distúrbios do sono mas não associada às condições citadas anteriormente. Cloridrato de ranitidina é indicado, ainda, nas situações em que é desejável a redução da produção de ácido profilaxia da úlcera de estresse em pacientes gravemente enfermos, profilaxia da hemorragia recorrente em pacientes com úlcera péptica e prevenção da síndrome de aspiração ácida síndrome de Mendelson.|Hydrochloride Ranitidina is indicated for the treatment of duodenal ulcer and benign gastric ulcer, including those associated with non-steroidal anti-inflammatory agents. It is Also used in the prevention of duodenal ulcers associated with non-steroidal anti-inflammatory agents, including acetylsalicylic acid, especially in patients with a history of peptic ulcerative disease, duodenal ulcer related to H infection. Pylori, postoperative ulcer, reflux esophagitis, relief of symptoms of gastroesophageal reflux, Zollinger-Ellison syndrome and chronic episodic dyspepsia, characterized by epigastric or retrosternal pain that is associated with meals or disorders of Not associated with the aforementioned conditions. Hydrochloride Ranitidina It is also indicated in situations where it is desirable to reduce the production of stress ulcer prophylaxis in critically ill patients, prophylaxis of recurrent hemorrhage in patients with peptic ulcer and prevention of acid aspiration syndrome Syndrome of Mendelson.|A|A02|A02B|A02B1
bula7742|Hipercolesterolemia Primária ezetimiba, administrada em associação com um inibidor da enzima HMG-CoA redutase estatina ou isoladamente, é indicada como terapia adjuvante à dieta para a redução dos níveis elevados de colesterol total C total, de colesterol da lipoproteína de baixa densidade LDL-C, da apolipoproteína B apo B e dos triglicérides TG e para aumentar o colesterol da lipoproteína de alta densidade HDL-C em pacientes com hipercolesterolemia primária familiar heterozigótica e não familiar. A ezetimiba, administrada em combinação com o fenofibrato, é indicada como terapia adjuvante à dieta para redução de níveis elevados de colesterol total, LDL-C, Apo B, e não-HDL-C em pacientes com hiperlipidemia mista. Hipercolesterolemia Familiar Homozigótica HFHo ezetimiba administrada em associação com uma estatina é indicada para a redução dos níveis elevados de colesterol total e do LDL-C em pacientes com HFHo. Os pacientes também poderão receber tratamentos adjuvantes por exemplo, aférese de LDL. Sitosterolemia Homozigótica Fitosterolemia ezetimiba é indicada para a redução dos níveis elevados de sitosterol e campesterol em pacientes com sitosterolemia familiar homozigótica.|Primary Hypercholesterolaemia ezetimibe, administered in combination with an inhibitor of the enzyme HMG-CoA reductase statin or alone, is indicated as adjuvant therapy to the diet to reduce the elevated levels of total cholesterol C total, cholesterol of the Low-density lipoprotein LDL-C, apolipoprotein B apo B and TG triglycerides and to increase high-density HDL-C lipoprotein cholesterol in patients with heterozygous and non-familial primary familial hypercholesterolemia. Ezetimibe, administered in combination with fenofibrate, is indicated as an adjuvant diet therapy to reduce high levels of total cholesterol, LDL-C, Apo B, and non-HDL-C in patients with mixed hyperlipidemia. Homozygous Familial Hypercholesterolaemia HFHo ezetimibe administered in combination with a statin is indicated for the reduction of the elevated levels of total cholesterol and LDL-C in patients with HFHo. Patients may also receive adjuvant treatments for example, apexesis of LDL. Homozygous Sitosterolemia Fitosterolemia Ezetimibe is indicated for the reduction of elevated levels of sitosterol and Campesterol in patients with homozygous familial Sitosterolemia.|C|C10|C10A|C10A9
bula2854|SURVANTAr beractanto é destinado à prevenção e tratamento da Síndrome do Desconforto Respiratório SDR ou Doença da Membrana Hialina DMH neonatal. SURVANTAr beractanto reduz significativamente a incidência de SDR, a mortalidade dela decorrente e as complicações por escapes de ar.|SURVANTAr Beractant is intended for the prevention and treatment of SDR Respiratory Distress Syndrome or neonatal DMH Hyaline Membrane Disease. SURVANTAr Beractant Significantly reduces the incidence of SDR, the mortality resulting from it and the complications caused by air leaks.|R|R07|R07C|R07C0
bula2326|GASTROBENE está indicado para - distúrbios da motilidade gastrintestinal - refluxo gastroesofágico - náuseas e vômitos de origem central e periférica cirurgias, metabólicas, infecciosas e problemas secundários ao uso de medicamentos. GASTROBENE é utilizado também para facilitar os procedimentos radiológicos do trato gastrintestinal.|GASTROBENE is indicated for-disorders of gastrointestinal motility-gastroesophageal reflux-nausea and vomiting of central origin and peripheral surgeries, metabolic, infectious and problems secondary to the use of medications. GASTROBENE is also used to facilitate the radiological procedures of the gastrointestinal tract.|A|A03|A03F|A03F0
bula3390|Hidrofluxr é destinado ao tratamento da hipertensão arterial, quer isoladamente ou em associação com outros fármacos anti-hipertensivos. Pode ser ainda utilizado no tratamento dos edemas associados com insuficiência cardíaca congestiva, cirrose hepática e com a terapia por corticosteróides ou estrógenos. Também é eficaz no edema relacionado a várias formas de disfunção renal, como síndrome nefrótica, glomerulonefrite aguda e insuficiência renal crônica. 2-.|HYDROFLUXR is intended for the treatment of arterial hypertension, either alone or in association with other antihypertensive drugs. It can also be used in the treatment of edema associated with congestive heart failure, hepatic cirrhosis and with corticosteroid therapy or estrogens. It is Also effective in edema Related to various forms of renal dysfunction, such as nephrotic syndrome, acute glomerulonephritis and chronic renal failure. 2-.|C|C03|C03A|C03A3
bula2526|Como agente antidiabético, associado ao regime alimentar, para o tratamento de - Diabetes mellitus tipo 2, não dependente de insulina diabetes da maturidade, diabetes do obeso, diabetes em adultos de peso normal, isoladamente ou complementando a ação de outros antidiabéticos como as sulfonilureias em adultos e crianças acima de 10 anos - Diabetes mellitus tipo 1, dependente de insulina, como complemento da insulinoterapia em casos de diabetes instável ou insulino-resistente ver Advertências e precauções. Também indicado na Síndrome dos Ovários Policísticos Síndrome de Stein-Leventhal.|As an antidiabetic agent, associated with the diet, for the treatment of Diabetes mellitus type 2, not dependent on insulin diabetes of maturity, diabetes of the obese, diabetes in adults of normal weight, alone or complementing the action of other Antidiabetics such as Sulphonylureas In adults and children over 10 years-Diabetes Insulin-dependent type 1 mellitus as a complement to insulinotherapy in cases of unstable diabetes or Insulino-Resistant See Warnings and precautions. Also indicated in the Polycystic Ovary Syndrome Stein-Leventhal.|A|A10|A10J|A10J1
bula918|O benzoilmetronidazol é indicado para o tratamento de giardíase e amebíase.|Benzoylmetronidazole is indicated for the treatment of giardiasis and amebiasis.|P|P01|P01A|P01A0
bula170|ARTELACr é indicado no tratamento sintomático das manifestações de ressecamento da córnea e conjuntiva, causadas por secreção lacrimal deficiente e desordens funcionais resultantes de processos patológicos locais ou sistêmicos, bem como no caso de ausência ou deficiência do fechamento da pálpebra.|ARTELACr is indicated for the symptomatic treatment of corneal and conjunctival dryness manifestations caused by deficient lacrimal secretion and functional disorders resulting from local or systemic pathological processes, as well as in the case of absence or Eyelid closure deficiency.|S|S01|S01K|S01K1
bula5743|Este medicamento e destinado ao tratamento oral do diabetes mellitus não insulino-dependente tipo 2 ou diabetes do adulto, quando os níveis sanguíneos de glicose não podem ser controlados apenas por dieta, exercício físico e redução de peso.|This Medicine is intended for oral treatment of non-insulin-dependent type 2 diabetes mellitus or adult diabetes, when blood glucose levels cannot be controlled only by diet, physical exercise and weight reduction.|A|A10|A10H|A10H0
bula5812|Immensaer paracetamol  fosfato de codeína é indicado para o alívio de dores de grau moderado a intenso, como nas decorrentes de traumatismo entorses, luxações, contusões, distensões, fraturas, pós-operatório, pós-extração dentária, neuralgia, lombalgia, dores de origem articular e condições similares. 2.|Immensaer Paracetamol codeine phosphate is indicated for the relief of moderate to intense pain, as in the resulting from trauma sprains, discomforts, bruises, distensions, fractures, postoperative, post-extraction dental, neuralgia, low back pain, Of joint origin and similar conditions. 2.|N|N02|N02A|N02A0
